analyte,n_two_sided,mean_z_approx,mean_abs_z,pct_abs_z_ge_1,pct_abs_z_ge_2,pct_out_of_range
Aconitic,10,-1.55,1.55,100.0,10.0,10.0
Ascorbic,10,-1.88,1.96,90.0,90.0,90.0
Citramalic,7,-0.96,1.1,71.4,0.0,0.0
4-Hydroxyhippuric,3,-1.37,1.37,66.7,0.0,0.0
2-Hydroxybutyric,3,1.14,1.18,66.7,0.0,0.0
Malic,3,-1.01,1.01,66.7,0.0,0.0
Orotic,3,0.93,0.93,66.7,0.0,0.0
Adipic,3,-0.68,0.87,66.7,0.0,0.0
3-Methylglutaconic,7,-0.66,0.94,57.1,0.0,0.0
Lactic,7,-0.9,0.9,57.1,0.0,0.0
