participant,PC1,PC2
R01,7.694733754556486,-0.6506565967508843
R02,-1.8585055596352333,-6.094620244128367
R03,-3.04246592502302,-1.7140311917305757
R04,7.318405931851022,-5.107433544471781
R05,4.990698582945124,7.801914253670177
R06,-4.185301335654873,-0.8302626847270205
R07,-1.5739503328337325,1.6616316622003169
R08,-4.439738662435752,0.2875091085555903
R09,-1.3756230408895715,1.7258464359884185
R10,-3.5282534128804546,2.920102801394127
