Analyte,Mean z-approx,Mean |z|,% |z| ≥ 1,% |z| ≥ 2,% Out-of-range,n two-sided
Aconitic,-1.55,1.55,100.0,10.0,10.0,10
Ascorbic,-1.88,1.96,90.0,90.0,90.0,10
Citramalic,-0.96,1.1,71.4,0.0,0.0,7
4-Hydroxyhippuric,-1.37,1.37,66.7,0.0,0.0,3
2-Hydroxybutyric,1.14,1.18,66.7,0.0,0.0,3
Malic,-1.01,1.01,66.7,0.0,0.0,3
Orotic,0.93,0.93,66.7,0.0,0.0,3
Adipic,-0.68,0.87,66.7,0.0,0.0,3
3-Methylglutaconic,-0.66,0.94,57.1,0.0,0.0,7
Lactic,-0.9,0.9,57.1,0.0,0.0,7
